,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Or Review,Response
0,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Orchid H.,Super hydrating and glowing. Definitely recommend it,Scent:Others,5,19 Aug 2019,no
1,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Alan T.,good price,Scent:Others,5,15 May 2019,no
2,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Bintu R.,got it nicely packed. highly recommend.👍,Scent:Not Specified,5,13 Dec 2018,no
3,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Lazada Customer,"fast delivery,nice packaging,good product worth buying",Scent:Not Specified,5,17 Nov 2018,no
4,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Alan T.,No comments/review is an image,Scent:Others,5,16 Sep 2019,no
5,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Lazada Customer,No comments/review is an image,Scent:Others,5,16 Sep 2019,no
6,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Angela W.,No comments/review is an image,Scent:Others,5,10 Sep 2019,no
7,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Lazada Customer,No comments/review is an image,Scent:Others,5,03 Sep 2019,no
8,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Vernice P.,No comments/review is an image,Scent:Others,5,01 Sep 2019,no
9,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Alan T.,No comments/review is an image,Scent:Others,5,03 Aug 2019,no
10,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Alan T.,No comments/review is an image,Scent:Others,5,09 Aug 2019,no
11,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Dayamol G.,No comments/review is an image,Scent:Others,5,29 Jun 2019,no
12,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, Lazada Customer,Ok deal,Scent:Others,5,30 Apr 2019,no
13,Garnier,Face Mask and Packs,[Buy 4 Get 1] Garnier Sakura White Serum Mask,$10.00, thuan H.,No comments/review is an image,Scent:Others,5,30 Apr 2019,no
